year,state,statefip,stateAbbrev,realIncWage,gini,pctTechnicalWorker,pctFemaleWorker,unemployementRate,realIncWageRat90_10,realIncWageRat_cg_hs,laborSupply_hl,fmWageRat
2002,Texas,48,TX,50346,.395,.048,.436,.061,5.422,2.185,.643,.6940000000000001
2003,Texas,48,TX,50441,.396,.05,.432,.07,5.431,2.206,.651,.704
2004,Texas,48,TX,48496,.397,.051,.432,.063,5.454,2.217,.654,.736
2005,Texas,48,TX,49089,.397,.052,.425,.054,5.486,2.218,.66,.728
2006,Texas,48,TX,48941,.397,.053,.431,.05,5.543,2.22,.672,.7010000000000001
2007,Texas,48,TX,49754,.396,.056,.422,.041,5.576000000000001,2.207,.6830000000000001,.73
2008,Texas,48,TX,48681,.395,.057,.429,.043,5.601,2.188,.7010000000000001,.758
2009,Texas,48,TX,52121,.394,.058,.423,.068,5.626,2.162,.722,.6850000000000001
2010,Texas,48,TX,49489,.392,.06,.437,.083,5.636,2.133,.742,.714
2011,Texas,48,TX,49055,.39,.061,.441,.081,5.621,2.082,.756,.705
2012,Texas,48,TX,53124,.388,.06,.435,.065,5.594,2.042,.769,.723
2013,Texas,48,TX,50487,.387,.06,.417,.067,5.586,2.022,.775,.761
2014,Texas,48,TX,50718,.385,.059,.419,.049,5.573,2,.779,.782
1980,Utah,49,UT,38148,.295,.044,.319,.054,4.012000000000001,1.412,.634,.595
1981,Utah,49,UT,39356,.297,.045,.319,.074,4.077,1.432,.629,.547
1982,Utah,49,UT,40282,.298,.047,.327,.067,4.079,1.452,.623,.54
1983,Utah,49,UT,39661,.301,.049,.327,.106,4.163,1.491,.617,.581
1984,Utah,49,UT,41066,.303,.05,.332,.088,4.254,1.508,.611,.5680000000000001
1985,Utah,49,UT,43549,.305,.052,.33,.072,4.346,1.517,.615,.594
1986,Utah,49,UT,42941,.306,.052,.377,.062,4.401,1.534,.618,.601
1987,Utah,49,UT,41107,.308,.052,.378,.082,4.492,1.544,.627,.605
1988,Utah,49,UT,40808,.309,.052,.36,.048,4.537,1.59,.635,.616
1989,Utah,49,UT,39022,.31,.052,.371,.064,4.493,1.6,.651,.608
1990,Utah,49,UT,39579,.311,.053,.377,.055,4.417,1.618,.664,.624
1991,Utah,49,UT,39453,.311,.053,.372,.057,4.342000000000001,1.647,.6770000000000001,.666
1992,Utah,49,UT,38376,.312,.054,.392,.066,4.266,1.676,.6860000000000001,.659
1993,Utah,49,UT,40728,.314,.054,.404,.039,4.197,1.672,.707,.668
1994,Utah,49,UT,39807,.317,.055,.385,.042,4.183,1.708,.717,.734
1995,Utah,49,UT,40248,.319,.056,.374,.033,4.216,1.736,.728,.6790000000000001
1996,Utah,49,UT,42101,.322,.057,.392,.04,4.268,1.743,.741,.647
1997,Utah,49,UT,41048,.324,.058,.413,.029,4.351,1.759,.758,.6940000000000001
1998,Utah,49,UT,44254,.329,.06,.401,.05,4.511,1.779,.764,.772
1999,Utah,49,UT,43046,.333,.059,.402,.04,4.655,1.79,.775,.731
2000,Utah,49,UT,46107,.339,.058,.351,.033,4.789,1.812,.786,.714
2001,Utah,49,UT,51460,.345,.059,.355,.032,4.904,1.839,.794,.643
2002,Utah,49,UT,47400,.353,.057,.396,.064,4.987,1.87,.798,.658
2003,Utah,49,UT,50327,.357,.056,.379,.079,5.060000000000001,1.901,.8030000000000001,.675
2004,Utah,49,UT,52797,.363,.057,.405,.061,5.133,1.928,.8140000000000001,.664
2005,Utah,49,UT,50771,.366,.058,.374,.048,5.2,1.944,.8250000000000001,.626
2006,Utah,49,UT,49384,.366,.059,.377,.032,5.2,1.933,.836,.6850000000000001
2007,Utah,49,UT,50182,.364,.063,.39,.026,5.167,1.908,.848,.633
2008,Utah,49,UT,54342,.361,.067,.39,.046,5.067,1.882,.871,.597
2009,Utah,49,UT,54534,.358,.07,.362,.067,5,1.86,.886,.661
2010,Utah,49,UT,55154,.355,.073,.383,.088,4.933,1.858,.904,.658
2011,Utah,49,UT,53011,.358,.075,.366,.078,4.986,1.878,.9340000000000001,.658
2012,Utah,49,UT,56269,.358,.078,.385,.071,5.009,1.903,.976,.627
2013,Utah,49,UT,54369,.359,.079,.362,.035,5.053,1.922,.991,.736
2014,Utah,49,UT,55158,.361,.08,.352,.044,5.071,1.947,1.011,.6970000000000001
1980,Vermont,50,VT,31842,.286,.051,.358,.055,3.584,1.36,.489,.608
1981,Vermont,50,VT,32690,.287,.049,.353,.07,3.606,1.363,.499,.625
1982,Vermont,50,VT,35119,.289,.047,.346,.072,3.621,1.365,.505,.5530000000000001
1983,Vermont,50,VT,34522,.293,.043,.373,.098,3.696,1.37,.53,.636
1984,Vermont,50,VT,32740,.296,.043,.384,.079,3.734,1.372,.546,.652
1985,Vermont,50,VT,34918,.299,.043,.378,.066,3.765,1.375,.5700000000000001,.662
1986,Vermont,50,VT,39260,.302,.045,.376,.052,3.797,1.38,.591,.671
1987,Vermont,50,VT,38545,.302,.046,.4,.039,3.821,1.395,.614,.706
1988,Vermont,50,VT,37920,.3,.048,.416,.038,3.814,1.416,.633,.728
1989,Vermont,50,VT,38509,.298,.048,.438,.043,3.825,1.457,.64,.713
1990,Vermont,50,VT,39114,.296,.048,.453,.056,3.894,1.495,.642,.6780000000000001
1991,Vermont,50,VT,40028,.294,.05,.479,.062,3.957,1.532,.649,.723
1992,Vermont,50,VT,37628,.294,.052,.432,.068,4.026,1.558,.661,.777
1993,Vermont,50,VT,38316,.294,.053,.46,.08,4.078,1.565,.672,.715
1994,Vermont,50,VT,39868,.297,.054,.454,.055,4.113,1.551,.6970000000000001,.74
1995,Vermont,50,VT,43778,.305,.055,.452,.048,4.092000000000001,1.551,.72,.721
1996,Vermont,50,VT,42510,.313,.054,.456,.042,4.073,1.572,.726,.638
1997,Vermont,50,VT,40519,.324,.053,.403,.056,4.054,1.597,.738,.787
1998,Vermont,50,VT,46837,.334,.052,.416,.034,4.052000000000001,1.635,.753,.642
1999,Vermont,50,VT,48638,.34,.053,.463,.044,4.049,1.685,.753,.652
2000,Vermont,50,VT,43297,.341,.053,.474,.022,4.053,1.721,.777,.796
2001,Vermont,50,VT,49256,.343,.054,.438,.043,4.111,1.735,.8150000000000001,.7000000000000001
2002,Vermont,50,VT,48345,.342,.055,.469,.043,4.169000000000001,1.746,.866,.6910000000000001
2003,Vermont,50,VT,49803,.342,.056,.449,.06,4.207,1.747,.915,.726
2004,Vermont,50,VT,52960,.343,.056,.459,.051,4.246,1.728,.963,.744
2005,Vermont,50,VT,51497,.344,.058,.445,.04,4.282,1.709,.992,.754
2006,Vermont,50,VT,51535,.344,.059,.454,.044,4.247,1.691,1.017,.755
2007,Vermont,50,VT,49764,.343,.059,.467,.047,4.212,1.673,1.026,.6830000000000001
2008,Vermont,50,VT,49875,.341,.061,.466,.051,4.233,1.678,1.035,.728
2009,Vermont,50,VT,51636,.339,.063,.466,.068,4.222,1.698,1.052,.6990000000000001
2010,Vermont,50,VT,52123,.338,.065,.478,.072,4.243,1.718,1.073,.779
2011,Vermont,50,VT,50621,.338,.067,.457,.06,4.28,1.76,1.098,.8040000000000001
2012,Vermont,50,VT,52163,.34,.069,.462,.057,4.318000000000001,1.81,1.116,.749
2013,Vermont,50,VT,52866,.34,.069,.465,.042,4.310000000000001,1.828,1.129,.855
2014,Vermont,50,VT,53965,.342,.071,.479,.039,4.353,1.85,1.139,.8200000000000001
1980,Virginia,51,VA,37964,.32,.063,.377,.051,4.528000000000001,1.617,.517,.597
1981,Virginia,51,VA,38009,.321,.06,.407,.058,4.55,1.615,.53,.613
1982,Virginia,51,VA,40184,.321,.058,.412,.079,4.581,1.615,.539,.61
1983,Virginia,51,VA,41680,.323,.055,.417,.074,4.687,1.632,.5560000000000001,.641
1984,Virginia,51,VA,40581,.326,.054,.408,.049,4.764,1.682,.5690000000000001,.662
1985,Virginia,51,VA,42392,.329,.053,.408,.059,4.841,1.732,.588,.615
1986,Virginia,51,VA,43085,.331,.056,.412,.043,4.918,1.783,.606,.585
1987,Virginia,51,VA,46099,.334,.059,.408,.058,4.977,1.819,.622,.615
1988,Virginia,51,VA,43911,.336,.06,.442,.034,5,1.835,.635,.628
1989,Virginia,51,VA,44169,.335,.061,.447,.043,4.945,1.811,.654,.646
1990,Virginia,51,VA,45556,.335,.061,.454,.036,4.916,1.799,.661,.63
1991,Virginia,51,VA,44473,.335,.06,.439,.062,4.886,1.789,.664,.673
1992,Virginia,51,VA,43286,.335,.06,.449,.07,4.886,1.81,.6780000000000001,.6870000000000001
1993,Virginia,51,VA,43833,.335,.061,.463,.05,4.886,1.83,.713,.72
1994,Virginia,51,VA,43554,.348,.065,.448,.047,5.023,1.865,.755,.732
1995,Virginia,51,VA,47098,.359,.07,.45,.047,5.137000000000001,1.899,.8010000000000001,.715
1996,Virginia,51,VA,47211,.371,.074,.463,.041,5.25,1.919,.846,.621
1997,Virginia,51,VA,50739,.382,.078,.433,.044,5.293,1.923,.882,.6870000000000001
1998,Virginia,51,VA,56792,.393,.081,.411,.035,5.336,1.955,.903,.5550000000000001
1999,Virginia,51,VA,55557,.391,.081,.416,.03,5.295,1.984,.911,.632
2000,Virginia,51,VA,54721,.388,.081,.447,.03,5.284,1.997,.915,.671
2001,Virginia,51,VA,57567,.387,.082,.486,.031,5.325,2.031,.918,.604
2002,Virginia,51,VA,58726,.386,.082,.464,.042,5.436,2.077,.9260000000000001,.708
2003,Virginia,51,VA,57205,.387,.084,.475,.05,5.556,2.075,.9290000000000001,.708
2004,Virginia,51,VA,57732,.389,.085,.433,.047,5.667,2.073,.9330000000000001,.6810000000000001
2005,Virginia,51,VA,59171,.394,.087,.438,.037,5.72,2.079,.9400000000000001,.6810000000000001
2006,Virginia,51,VA,60709,.397,.088,.452,.03,5.758,2.073,.9590000000000001,.714
2007,Virginia,51,VA,60909,.399,.089,.471,.036,5.754,2.056,1.015,.743
2008,Virginia,51,VA,57986,.397,.091,.468,.042,5.742,2.078,1.072,.6980000000000001
2009,Virginia,51,VA,64066,.396,.093,.456,.069,5.788,2.12,1.129,.6900000000000001
2010,Virginia,51,VA,65860,.395,.095,.481,.087,5.863,2.16,1.184,.714
2011,Virginia,51,VA,63198,.391,.097,.479,.066,5.9,2.18,1.242,.72
2012,Virginia,51,VA,62502,.39,.1,.463,.068,5.95,2.199,1.258,.723
2013,Virginia,51,VA,65429,.39,.101,.447,.048,6,2.208,1.267,.753
2014,Virginia,51,VA,62195,.39,.102,.458,.061,6,2.191,1.281,.756
1980,Washington,53,WA,41742,.294,.059,.366,.061,4.183,1.431,.652,.59
1981,Washington,53,WA,42298,.295,.058,.362,.1,4.202,1.439,.668,.6
1982,Washington,53,WA,44004,.298,.056,.357,.134,4.213,1.461,.6770000000000001,.604
1983,Washington,53,WA,44965,.301,.054,.35,.124,4.236,1.488,.6930000000000001,.634
1984,Washington,53,WA,44106,.303,.052,.391,.091,4.291,1.514,.716,.611
1985,Washington,53,WA,45616,.304,.053,.385,.081,4.324,1.523,.727,.646
1986,Washington,53,WA,45568,.304,.057,.396,.1,4.353,1.53,.727,.665
1987,Washington,53,WA,45255,.303,.061,.389,.097,4.381,1.509,.732,.653
1988,Washington,53,WA,44677,.301,.066,.4,.076,4.408,1.488,.732,.6990000000000001
1989,Washington,53,WA,45705,.3,.07,.38,.071,4.342000000000001,1.463,.73,.733
1990,Washington,53,WA,41739,.3,.071,.409,.054,4.304,1.453,.763,.716
1991,Washington,53,WA,42733,.3,.068,.43,.075,4.270000000000001,1.444,.799,.6910000000000001
1992,Washington,53,WA,44204,.303,.065,.447,.097,4.281,1.481,.833,.674
1993,Washington,53,WA,46179,.306,.061,.429,.094,4.335,1.526,.868,.733
1994,Washington,53,WA,47452,.311,.058,.418,.077,4.45,1.575,.903,.749
1995,Washington,53,WA,44773,.319,.055,.4,.07,4.554,1.62,.909,.6850000000000001
1996,Washington,53,WA,46880,.327,.055,.425,.079,4.665,1.686,.914,.675
1997,Washington,53,WA,49363,.333,.056,.398,.054,4.769,1.715,.905,.796
1998,Washington,53,WA,49755,.339,.058,.419,.049,4.855,1.755,.909,.743
1999,Washington,53,WA,52919,.346,.061,.403,.047,4.941,1.808,.913,.8100000000000001
2000,Washington,53,WA,52340,.352,.065,.412,.051,5.03,1.862,.915,.6890000000000001
2001,Washington,53,WA,55590,.358,.068,.397,.065,5.113,1.894,.916,.675
2002,Washington,53,WA,58938,.364,.07,.407,.071,5.136,1.922,.9290000000000001,.6770000000000001
2003,Washington,53,WA,57673,.369,.073,.416,.081,5.138,1.933,.9380000000000001,.726
2004,Washington,53,WA,56774,.371,.074,.42,.071,5.181,1.928,.9510000000000001,.6920000000000001
2005,Washington,53,WA,57034,.372,.078,.411,.057,5.163,1.945,.97,.6760000000000001
2006,Washington,53,WA,61030,.372,.082,.425,.045,5.127,1.962,.99,.655
2007,Washington,53,WA,59455,.372,.085,.437,.049,5.129,1.986,1.019,.665
2008,Washington,53,WA,59591,.371,.089,.42,.057,5.108000000000001,2.007,1.054,.654
2009,Washington,53,WA,61823,.369,.092,.431,.097,5.045,2.028,1.094,.707
2010,Washington,53,WA,61373,.368,.092,.439,.102,5.054,2.004,1.133,.736
2011,Washington,53,WA,59510,.368,.093,.432,.11,5.221,1.98,1.182,.762
2012,Washington,53,WA,55932,.369,.094,.417,.096,5.4,1.953,1.218,.769
2013,Washington,53,WA,61700,.37,.095,.422,.069,5.5,1.935,1.234,.722
2014,Washington,53,WA,62965,.372,.095,.438,.073,5.667,1.905,1.247,.758
1980,West Virginia,54,WV,35658,.302,.016,.305,.103,3.914,1.37,.288,.5620000000000001
1981,West Virginia,54,WV,35157,.302,.017,.336,.11,3.995,1.382,.305,.5640000000000001
1982,West Virginia,54,WV,35538,.304,.018,.348,.12,4.049,1.384,.316,.644
1983,West Virginia,54,WV,38664,.306,.021,.361,.185,4.155,1.394,.341,.616
1984,West Virginia,54,WV,38347,.309,.022,.38,.157,4.261,1.403,.359,.626
1985,West Virginia,54,WV,40027,.312,.022,.337,.148,4.326000000000001,1.412,.36,.606
1986,West Virginia,54,WV,36803,.314,.022,.356,.125,4.345,1.412,.361,.59
1987,West Virginia,54,WV,39162,.313,.021,.342,.112,4.359,1.417,.363,.641
1988,West Virginia,54,WV,38736,.311,.02,.368,.092,4.350000000000001,1.413,.365,.631
1989,West Virginia,54,WV,36616,.309,.019,.353,.088,4.342000000000001,1.411,.365,.619
1990,West Virginia,54,WV,36041,.308,.018,.376,.074,4.341,1.41,.375,.639
1991,West Virginia,54,WV,36629,.306,.017,.402,.108,4.374,1.403,.386,.638
1992,West Virginia,54,WV,36246,.309,.017,.381,.121,4.412,1.402,.401,.652
1993,West Virginia,54,WV,34586,.312,.017,.41,.112,4.491,1.42,.426,.667
1994,West Virginia,54,WV,36999,.316,.017,.439,.099,4.57,1.437,.457,.6780000000000001
1995,West Virginia,54,WV,38233,.321,.02,.395,.067,4.642,1.484,.487,.6830000000000001
1996,West Virginia,54,WV,40250,.329,.023,.439,.101,4.687,1.542,.515,.631
1997,West Virginia,54,WV,42662,.335,.026,.413,.068,4.727,1.595,.539,.635
1998,West Virginia,54,WV,42070,.34,.029,.448,.085,4.715,1.632,.5520000000000001,.751
1999,West Virginia,54,WV,41343,.343,.032,.423,.083,4.703,1.667,.5610000000000001,.748
2000,West Virginia,54,WV,41175,.345,.031,.438,.058,4.681,1.666,.5610000000000001,.641
2001,West Virginia,54,WV,42718,.344,.03,.442,.05,4.658,1.66,.5610000000000001,.626
2002,West Virginia,54,WV,44433,.341,.031,.431,.063,4.636,1.662,.5610000000000001,.634
2003,West Virginia,54,WV,43795,.339,.032,.444,.073,4.631,1.674,.5610000000000001,.6900000000000001
2004,West Virginia,54,WV,45221,.34,.031,.446,.065,4.635,1.686,.5600000000000001,.751
2005,West Virginia,54,WV,44224,.342,.034,.475,.063,4.655,1.704,.5580000000000001,.748
2006,West Virginia,54,WV,43044,.344,.037,.451,.049,4.72,1.69,.5570000000000001,.715
2007,West Virginia,54,WV,47330,.349,.038,.429,.053,4.784,1.666,.588,.6840000000000001
2008,West Virginia,54,WV,46878,.353,.038,.414,.057,4.843,1.632,.619,.762
2009,West Virginia,54,WV,48773,.355,.04,.425,.092,4.893,1.6,.651,.713
2010,West Virginia,54,WV,48040,.355,.039,.421,.095,4.897,1.584,.6970000000000001,.705
2011,West Virginia,54,WV,52071,.357,.038,.454,.08,4.857,1.605,.75,.6850000000000001
2012,West Virginia,54,WV,48563,.365,.038,.447,.072,4.817,1.687,.771,.6760000000000001
2013,West Virginia,54,WV,47599,.367,.038,.457,.077,4.787,1.718,.785,.704
2014,West Virginia,54,WV,52867,.371,.038,.434,.083,4.737,1.767,.8070000000000001,.728
1980,Wisconsin,55,WI,38500,.3,.036,.362,.07,3.899,1.486,.406,.538
1981,Wisconsin,55,WI,38529,.3,.037,.366,.097,3.869,1.49,.41,.587
1982,Wisconsin,55,WI,40590,.302,.037,.36,.113,3.895,1.496,.417,.528
1983,Wisconsin,55,WI,42500,.304,.037,.363,.123,3.883,1.514,.432,.584
1984,Wisconsin,55,WI,41049,.306,.037,.381,.082,4.008,1.536,.446,.638
1985,Wisconsin,55,WI,40192,.308,.036,.385,.085,4.128,1.554,.463,.622
1986,Wisconsin,55,WI,43354,.308,.035,.361,.075,4.222,1.582,.476,.629
1987,Wisconsin,55,WI,43106,.306,.035,.363,.078,4.272,1.606,.486,.542
1988,Wisconsin,55,WI,39997,.303,.035,.379,.058,4.254,1.611,.491,.658
1989,Wisconsin,55,WI,40017,.301,.035,.395,.06,4.182,1.621,.502,.665
1990,Wisconsin,55,WI,40860,.298,.036,.389,.049,4.111,1.638,.523,.654
1991,Wisconsin,55,WI,40145,.296,.037,.43,.069,4.071,1.654,.545,.657
1992,Wisconsin,55,WI,40309,.295,.038,.427,.058,4.04,1.674,.579,.722
1993,Wisconsin,55,WI,42558,.297,.041,.422,.048,4.061,1.704,.615,.6880000000000001
1994,Wisconsin,55,WI,41064,.302,.042,.429,.058,4.088,1.723,.648,.6990000000000001
1995,Wisconsin,55,WI,42772,.309,.042,.438,.055,4.13,1.74,.669,.647
1996,Wisconsin,55,WI,44461,.316,.043,.438,.044,4.166,1.748,.6880000000000001,.644
1997,Wisconsin,55,WI,44199,.325,.043,.455,.042,4.206,1.769,.6950000000000001,.672
1998,Wisconsin,55,WI,47413,.331,.042,.421,.036,4.248,1.79,.6960000000000001,.744
1999,Wisconsin,55,WI,47743,.335,.042,.405,.038,4.285,1.811,.6960000000000001,.643
2000,Wisconsin,55,WI,49153,.338,.043,.417,.045,4.32,1.827,.7000000000000001,.657
2001,Wisconsin,55,WI,52478,.342,.044,.413,.051,4.354,1.841,.705,.6870000000000001
2002,Wisconsin,55,WI,51921,.345,.045,.43,.065,4.376,1.839,.712,.654
2003,Wisconsin,55,WI,50824,.347,.048,.437,.067,4.39,1.852,.727,.6960000000000001
2004,Wisconsin,55,WI,52003,.349,.05,.453,.062,4.407,1.872,.744,.7000000000000001
2005,Wisconsin,55,WI,52165,.35,.052,.439,.049,4.411000000000001,1.894,.76,.664
2006,Wisconsin,55,WI,52593,.351,.054,.442,.053,4.416,1.909,.792,.675
2007,Wisconsin,55,WI,55049,.349,.054,.44,.052,4.377,1.921,.8270000000000001,.709
2008,Wisconsin,55,WI,51865,.346,.054,.46,.048,4.339,1.905,.87,.774
2009,Wisconsin,55,WI,52273,.343,.054,.452,.087,4.296,1.883,.915,.6960000000000001
2010,Wisconsin,55,WI,52044,.34,.055,.471,.108,4.261,1.86,.969,.745
2011,Wisconsin,55,WI,51918,.34,.056,.453,.084,4.24,1.85,1.007,.769
2012,Wisconsin,55,WI,52206,.342,.059,.435,.084,4.261,1.842,1.041,.76
2013,Wisconsin,55,WI,54663,.343,.061,.452,.079,4.274,1.845,1.056,.6820000000000001
2014,Wisconsin,55,WI,54546,.344,.064,.432,.069,4.295,1.849,1.073,.739
1980,Wyoming,56,WY,38965,.297,.034,.335,.043,4.317,1.299,.502,.541
1981,Wyoming,56,WY,40718,.296,.034,.305,.051,4.309,1.313,.517,.599
1982,Wyoming,56,WY,41771,.298,.033,.357,.069,4.306,1.322,.533,.526
1983,Wyoming,56,WY,41215,.298,.033,.351,.088,4.323,1.344,.5610000000000001,.581
1984,Wyoming,56,WY,43589,.3,.03,.34,.094,4.353,1.365,.585,.5630000000000001
1985,Wyoming,56,WY,43448,.301,.028,.345,.089,4.395000000000001,1.383,.594,.591
1986,Wyoming,56,WY,43140,.303,.028,.361,.107,4.465,1.385,.601,.588
1987,Wyoming,56,WY,43560,.303,.028,.327,.107,4.507,1.388,.595,.603
1988,Wyoming,56,WY,44354,.303,.028,.331,.07,4.575,1.372,.589,.617
1989,Wyoming,56,WY,41144,.305,.029,.367,.072,4.67,1.357,.579,.594
1990,Wyoming,56,WY,39471,.306,.03,.371,.082,4.753,1.341,.5730000000000001,.633
1991,Wyoming,56,WY,38725,.31,.029,.393,.056,4.82,1.338,.58,.6890000000000001
1992,Wyoming,56,WY,39568,.315,.028,.41,.058,4.911000000000001,1.337,.6,.5610000000000001
1993,Wyoming,56,WY,40479,.319,.029,.434,.069,4.903000000000001,1.347,.619,.5740000000000001
1994,Wyoming,56,WY,41092,.323,.03,.383,.063,4.868,1.353,.64,.5560000000000001
1995,Wyoming,56,WY,39879,.328,.031,.374,.056,4.764,1.359,.668,.634
1996,Wyoming,56,WY,41231,.33,.032,.389,.065,4.652,1.383,.6870000000000001,.6860000000000001
1997,Wyoming,56,WY,40186,.33,.032,.424,.078,4.577,1.38,.6950000000000001,.634
1998,Wyoming,56,WY,43114,.329,.031,.409,.054,4.551,1.378,.6960000000000001,.626
1999,Wyoming,56,WY,43999,.327,.03,.399,.055,4.521,1.415,.7030000000000001,.583
2000,Wyoming,56,WY,42203,.325,.029,.403,.045,4.558,1.449,.706,.608
2001,Wyoming,56,WY,45202,.322,.029,.404,.056,4.600000000000001,1.448,.6980000000000001,.626
2002,Wyoming,56,WY,43282,.323,.029,.436,.053,4.605,1.471,.6990000000000001,.663
2003,Wyoming,56,WY,45913,.326,.029,.432,.048,4.616,1.493,.707,.634
2004,Wyoming,56,WY,46875,.329,.03,.428,.04,4.639,1.455,.706,.593
2005,Wyoming,56,WY,46780,.332,.032,.403,.036,4.663,1.417,.7010000000000001,.5740000000000001
2006,Wyoming,56,WY,48988,.335,.032,.383,.036,4.682,1.387,.7030000000000001,.597
2007,Wyoming,56,WY,49655,.337,.032,.394,.033,4.67,1.357,.7020000000000001,.608
2008,Wyoming,56,WY,49542,.337,.032,.432,.036,4.648,1.33,.7010000000000001,.639
2009,Wyoming,56,WY,53124,.336,.032,.406,.059,4.617,1.34,.707,.665
2010,Wyoming,56,WY,54245,.335,.031,.429,.08,4.591,1.353,.716,.646
2011,Wyoming,56,WY,50220,.334,.031,.409,.063,4.569,1.37,.723,.664
2012,Wyoming,56,WY,52130,.332,.031,.401,.065,4.617,1.367,.736,.62
2013,Wyoming,56,WY,54081,.331,.031,.384,.046,4.632,1.375,.744,.6980000000000001
2014,Wyoming,56,WY,54138,.331,.031,.401,.042,4.657,1.367,.747,.655
